year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2005,7,Female,25844,100508,136367,147161,151238,143410,146899,172661,196590,199884,178120,167033,184298,147504,126408,111466,96697,80961,46351,29324,2588724
2005,8,Male,26823,107048,144768,156524,156569,141981,142089,166802,194618,198102,176529,162903,181709,142690,118454,97879,75204,50118,22266,9868,2472944
2005,8,Female,25488,100956,137659,147889,150141,135164,140771,170189,197428,202075,178385,167105,187828,148206,126115,109266,95961,78126,44253,28538,2571543
2005,9,Male,26983,108974,151427,163355,163577,136132,131613,159905,195386,204211,182221,167072,184504,144447,118697,98480,77116,50480,21814,9868,2496262
2005,9,Female,25436,103497,143245,154999,153623,122693,129086,167278,200763,208547,184274,171353,191016,150031,126975,110592,95524,77131,42674,27401,2586138
2005,10,Male,26044,112669,159903,173161,161220,118900,109347,141912,186831,208420,189895,172770,189252,145128,117888,100000,77032,50366,21591,9524,2471853
2005,10,Female,24683,106860,152415,163281,155310,107453,109218,152773,198702,218800,192797,176982,194842,149886,127428,110326,93748,73845,39177,25364,2573890
2006,1,Male,44179,159435,187193,189628,187276,199578,189468,181992,187243,174681,153254,132566,130782,102888,92006,75626,58009,38289,17474,6342,2507909
2006,1,Female,42523,152905,179215,180888,185521,220716,200193,181985,189238,178577,153716,130934,127295,103873,97908,89058,80443,65484,38610,21824,2620906
2006,2,Male,39473,141341,169045,174998,178834,196582,197127,191545,197777,182606,155947,131425,129894,102607,89496,74200,59283,40650,19336,7157,2479323
2006,2,Female,37759,135102,162546,168070,176541,208999,207315,191523,197025,186557,157301,131935,130757,107745,97079,89490,82761,68365,41911,23575,2602356
2006,3,Male,35325,127085,152777,162189,172014,202099,204117,194926,200683,186881,159601,136970,138520,110475,92769,79051,62713,43515,20120,7670,2489500
2006,3,Female,34108,120181,147001,155712,169390,206954,205847,191947,196100,186977,159410,138366,140554,114512,101864,93436,86230,71323,44166,25478,2589556
2006,4,Male,32331,115522,144168,155421,167393,194874,192935,193067,198943,191777,165212,144960,151650,123949,102658,85401,68188,45838,22207,8545,2505039
2006,4,Female,31034,111024,137777,148578,162205,198434,192095,187437,194283,189413,165800,146668,154524,127935,109843,99138,90926,74786,46370,26933,2595203
